Designation,Company,Salary from InsiderInc
CTO,Aarian Intasel,15.8
Senior Software Engineer,Aarian Intasel,5.8
Software Engineer,Aarian Intasel,3.8
Branch Head,ABB Group,7.1
Marketing Manager,ABB Group,10.4
Project Manager,ABB Group,6.3
Scientist,ABB Group,25.8
Software Engineer,ABB Group,10.3
Business Analyst,ABC,4.5
Computer Hardware Engineer,ABC,1.7
General Manager,ABC,6.3
Management Consulting Consultant,ABC,18.9
Management Executive,ABC,5
Senior Manager - Operations,ABC,36.8
Senior Software Developer,ABC,16.8
Senior Software Engineer,ABC,5.8
Software Analyst,ABC,6.8
Software Developer,ABC,1.3
Software Engineer,ABC,15
Staff Software Engineer,ABC,29.4
Strategy Consultant,ABC,11.1
Analyst,AbsolutData,5.2
Assistant Manager,Aditya Birla Group,8.5
Deputy Manager,Aditya Birla Group,7.5
Senior Software Engineer,Accenture,7.1
Senior Systems Engineer,Accenture,7
Senior Test Engineer,Accenture,7.3
Software Analyst,Accenture,4.5
Software Developer,Accenture,4.8
Software Engineer,Accenture,4.4
Software Engineer Analyst,Accenture,5.2
Staff Software Engineer,Accenture,29.4
Strategy Consultant,Accenture,21.2
Subject Matter Expert,Accenture,4.4
System Analyst,Accenture,10.1
Systems Analyst,Accenture,11
Systems Analyst Team Lead,Accenture,10.9
Systems Engineer,Accenture,4.1
Team Lead,Accenture,10.1
Tester,Accenture,4.3
Trainee Software Engineer,Accenture,1.7
Manager,Actiance,28.4
Senior SQA Engineer,Actiance,8.5
Technical Lead,Actiance,10.5
Senior Manager,Accord Software,25.2
Software Engineer,Accord Software,1.7
System Administrator,Accel Frontline Limited,5.9
Web Designer,Acodez IT Solutions,3.8
Developer,Active Team,3.5
Development Engineer,Aditi,3.3
Project Manager,Aditi,15.5
Senior Development Engineer,Aditi,7.3
Senior Test Engineer,Aditi,9.5
Technical Lead,Aditi,11.5
Assistant Manager - Customer Service,Aditya Birla Minacs,4.6
Technical Support Representative,Aditya Birla Minacs,4.4
Computer Scientist,Adobe,16.5
Computer Scientist II,Adobe,21.9
Engineering Manager,Adobe,26.7
Lead Quality Engineer,Adobe,10.2
Lead Software Engineer,Adobe,13.2
Member of Technical Staff,Adobe,10.7
Member of Technical Staff I,Adobe,11.6
Member of Technical Staff II,Adobe,10.2
Pre-Sales Consultant,Adobe,16.3
Program Manager,Adobe,18.2
Quality Engineering Manager,Adobe,25
Senior Quality Engineer,Adobe,7.9
Senior Software Engineer,Adobe,8.9
Senior Technical Writer,Adobe,17.2
Software Engineer,Adobe,8.9
Software Quality Engineer,Adobe,8
Technical Associate,Adobe,4.1
Web Engineer,Adobe,9.2
Member Technical,ADP,4.5
Project Lead,ADP,12.7
Project Manager,ADP,19.2
Senior Associate,ADP,2.5
Senior Associate Consultant,ADP,8.9
Senior Member Technical,ADP,10.6
Team Lead,ADP,14.2
Associate,Adventity,11.2
Demand Operations Specialist,AdMarvel,4.7
Product Manager,AdMarvel,19.1
Software Engineer,AdMarvel,8
Technical Account Manager,AdMarvel,7.2
UX Designer,AdMarvel,11
Java J2EE Developer,Adnig Technologies,2.5
Process Executive,Adecco India,2.2
Support Engineer,Adecco India,7.6
Team Lead,Adecco India,3.1
Test Engineer,adroitCoders,4.1
Research scientist,ADVINUS Therapeutics Ltd,2.6
Vice President,Adani Infra,73.5
Senior Developer,ADPL,3.2
CEO,ADD-on-GYAN Educational Services,6.3
Assistant Manager - Customer Service,Adidas,4.5
General Manager,Addison & Co,12.9
Engineer,AECOM India,9.6
Business Operations Analyst,Aequor Information Technologies,4.4
QA Tester,Aequor Information Technologies,5.3
SQL Database Administrator,Aequor Information Technologies,7.9
Analyst,Affiliated Computer Services,4.8
Project Manager,Affiliated Computer Services,22.1
QA Engineer,Affiliated Computer Services,3.9
Software Engineer,Affiliated Computer Services,5.5
Systems Analyst,Affiliated Computer Services,7
Graduate Engineer Trainee,AGC Networks,3.7
R&D Software Engineer,Agilent Technologies,9.1
Engineering Lead,Agnity,17.6
CFO,Agility Logistics,40.9
Associate,AGR,4.2
Senior Executive Business Development,Agrim Infraproject,2.8
Principal Software Engineer,Airvana,23.5
R&D Engineer,Airvana,6.4
Deputy Manager,Aircel Ltd,8.2
Software Engineer,Aircom International,5.9
Engineer,Airbus,12.1
Lead Engineer,Airbus,17.3
Software Engineer,Airpush,50.4
Cabin Crew (Female) Air Hostess,Air India,5.3
Software Engineer,Airwatch,7.5
Software Engineer,Aithent Technology,2.7
Account Executive,Akamai,6.9
Application Developer,Akamai,6.4
Customer Solutions Engineer,Akamai,6.3
Relationship Manager,Akamai,7.9
Senior Software Engineer,Akamai,11.9
Software Engineer,Akamai,12.6
Systems Software Engineer,Akamai,7.6
Trainer,Aktinia IT Services,4
Lead Engineer,Alcatel-Lucent,13.2
Member of Technical Staff,Alcatel-Lucent,10.1
